who,numw,file,textdesc
Af-prij-07149,355,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji"
Bm-prij-07150,37,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji"
Cf-prij-07151,36,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji"
