who,numw,file,textdesc
Am-udel-02284,45,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Bf-udel-02285,1,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Df-udel-02287,7,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Ef-udel-02288,9,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Ff-udel-02289,182,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Gf-udel-02290,0,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Hm-udel-02291,33,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
Jf-udel-02293,8,SPOG-Gos176-NNosljakds-jm0103151200.xml,formalni delovni sestanek
