who,numw,file,textdesc
Am-mode-05620,165,SPOG-Gos136-JRrajzcajp-rd0907171301.xml,"Capris, jutranji"
Cm-mode-05621,85,SPOG-Gos136-JRrajzcajp-rd0907171301.xml,"Capris, jutranji"
