who,numw,file,textdesc
Om-prij-06569,75,SPOG-Gos239-NZosljdopr-at0909152030.xml,"doma, prijatelji"
Pm-prij-06568,92,SPOG-Gos239-NZosljdopr-at0909152030.xml,"doma, prijatelji"
