who,numw,file,textdesc
Af-prof-02215,74,SPOG-Gos012-JIosjzdrna-ak1001100755.xml,"2. triletje, naravoslovje"
Cf-ucen-02217,2,SPOG-Gos012-JIosjzdrna-ak1001100755.xml,"2. triletje, naravoslovje"
Gm-ucen-02221,7,SPOG-Gos012-JIosjzdrna-ak1001100755.xml,"2. triletje, naravoslovje"
