who,numw,file,textdesc
Am-soro-02104,28,SPOG-Gos219-NZoscedodr-ms0908251830.xml,"doma, družina"
Bm-otro-02105,56,SPOG-Gos219-NZoscedodr-ms0908251830.xml,"doma, družina"
Cm-star-02106,54,SPOG-Gos219-NZoscedodr-ms0908251830.xml,"doma, družina"
Df-soro-02107,27,SPOG-Gos219-NZoscedodr-ms0908251830.xml,"doma, družina"
