who,numw,file,textdesc
Cf-star-06564,22,SPOG-Gos230-NZoskrdodr-ak0904302200.xml,"doma, družina"
If-otro-06565,73,SPOG-Gos230-NZoskrdodr-ak0904302200.xml,"doma, družina"
