who,numw,file,textdesc
Af-gost-09027,27,SPOG-Gos158-JRtvslpoas-rd0904221512.xml,"PopTV, As ti tud"
Cm-mode-02049,50,SPOG-Gos158-JRtvslpoas-rd0904221512.xml,"PopTV, As ti tud"
Em-mode-02048,95,SPOG-Gos158-JRtvslpoas-rd0904221512.xml,"PopTV, As ti tud"
