who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Artur-J-G3016,833,Iriss-J-Gvecg-P500051.xml,novinarska konferenca,J-Gvecg-P500051,Artur-J-G3016,posavska,posavska,moški,30 do 59 let,novinarska konferenca,osebni stik,Artur-J,informativno-izobraževalni
Artur-N-G6007,553,Iriss-N-G6007-P600702.xml,razlaganje in opisovanje,N-G6007-P600702,Artur-N-G6007,osrednjeslovenska,osrednjeslovenska,moški,30 do 59 let,razlaganje in opisovanje,osebni stik,Artur-N,zasebni
Artur-N-G5054,546,Iriss-N-G5054-P600052.xml,prosti dialog med dvema sogovornikoma,N-G5054-P600052,Artur-N-G5054,podravska,-,ženski,18 do 34 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-N-G6001,719,Iriss-N-G6001-P600102.xml,razlaganje in opisovanje,N-G6001-P600102,Artur-N-G6001,osrednjeslovenska,osrednjeslovenska,ženski,18 do 34 let,razlaganje in opisovanje,osebni stik,Artur-N,zasebni
Artur-P-G7036,720,Iriss-P-G7036-P701111.xml,seja državnega zbora,P-G7036-P701111,Artur-P-G7036,-,-,ženski,-,seja državnega zbora,osebni stik,Artur-P,informativno-izobraževalni
Artur-J-G3002,732,Iriss-J-Gvecg-P500002.xml,nagovor na dogodku,J-Gvecg-P500002,Artur-J-G3002,-,-,ženski,30 do 59 let,nagovor na dogodku,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3070,823,Iriss-J-Gvecg-P500037.xml,novinarska konferenca,J-Gvecg-P500037,Artur-J-G3070,-,-,ženski,30 do 59 let,novinarska konferenca,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3018,152,Iriss-J-Gvecg-P500046.xml,spletni dogodek,J-Gvecg-P500046,Artur-J-G3018,-,-,ženski,-,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G3090,275,Iriss-J-Gvecg-P500046.xml,spletni dogodek,J-Gvecg-P500046,Artur-J-G3090,-,-,moški,-,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G3091,392,Iriss-J-Gvecg-P500046.xml,spletni dogodek,J-Gvecg-P500046,Artur-J-G3091,osrednjeslovenska,-,moški,30 do 59 let,spletni dogodek,internet,Artur-J,informativno-izobraževalni
