TEXT-ID	SOURCE-ID	RECORDING-ID	SUBCORPUS	PRS-ID	SEX	AGE	1LANG	DIALECT	EDUCATION	PERM-RESD	CHILD-RESD	SENTENCES	WORDS
Rog-Art-J-Gvecg-P580002	Artur-J-Gvecg-P580002	Artur-J-Gvecg-P580002.wav	Artur-J	Artur-J-G4529	ženski	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	savinjska	13	233
Rog-Art-J-Gvecg-P580002	Artur-J-Gvecg-P580002	Artur-J-Gvecg-P580002.wav	Artur-J	Artur-J-G4528	ženski	nad 60 let	slovenščina	standardni jezik	fakulteta ali več	-	-	24	778
Rog-Art-J-Gvecg-P580003	Artur-J-Gvecg-P580003	Artur-J-Gvecg-P580003.wav	Artur-J	Artur-J-G4531	ženski	nad 60 let	slovenščina	standardni jezik	višja ali visoka šola	savinjska	-	18	311
Rog-Art-J-Gvecg-P580003	Artur-J-Gvecg-P580003	Artur-J-Gvecg-P580003.wav	Artur-J	Artur-J-G4530	moški	30 do 59 let	slovenščina	pogovorni jezik	-	osrednjeslovenska	-	15	725
Rog-Art-J-Gvecg-P580009	Artur-J-Gvecg-P580009	Artur-J-Gvecg-P580009.wav	Artur-J	Artur-J-G4539	ženski	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	savinjska	-	14	232
Rog-Art-J-Gvecg-P580009	Artur-J-Gvecg-P580009	Artur-J-Gvecg-P580009.wav	Artur-J	Artur-J-G4538	moški	nad 60 let	slovenščina	pogovorni jezik	višja ali visoka šola	savinjska	-	28	822
Rog-Art-J-Gvecg-P580023	Artur-J-Gvecg-P580023	Artur-J-Gvecg-P580023.wav	Artur-J	Artur-J-G4544	ženski	nad 60 let	slovenščina	standardni jezik	srednja šola	-	posavska	22	340
Rog-Art-J-Gvecg-P580023	Artur-J-Gvecg-P580023	Artur-J-Gvecg-P580023.wav	Artur-J	Artur-J-G4554	ženski	30 do 59 let	slovenščina	pogovorni jezik	višja ali visoka šola	posavska	-	38	797
Rog-Art-J-Gvecg-P580041	Artur-J-Gvecg-P580041	Artur-J-Gvecg-P580041.wav	Artur-J	Artur-J-G4531	ženski	nad 60 let	slovenščina	standardni jezik	višja ali visoka šola	savinjska	-	25	308
Rog-Art-J-Gvecg-P580041	Artur-J-Gvecg-P580041	Artur-J-Gvecg-P580041.wav	Artur-J	Artur-J-G4521	moški	30 do 59 let	slovenščina	pogovorni jezik	fakulteta ali več	osrednjeslovenska	-	40	687
Rog-Art-J-Gvecg-P580047	Artur-J-Gvecg-P580047	Artur-J-Gvecg-P580047.wav	Artur-J	Artur-J-G4529	ženski	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	savinjska	18	220
Rog-Art-J-Gvecg-P580047	Artur-J-Gvecg-P580047	Artur-J-Gvecg-P580047.wav	Artur-J	Artur-J-G4586	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	23	773
Rog-Art-J-Gvecg-P580051	Artur-J-Gvecg-P580051	Artur-J-Gvecg-P580051.wav	Artur-J	Artur-J-G4602	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	jugovzhodna Slovenija	3	140
Rog-Art-J-Gvecg-P580051	Artur-J-Gvecg-P580051	Artur-J-Gvecg-P580051.wav	Artur-J	Artur-J-G4604	moški	nad 60 let	slovenščina	standardni jezik	fakulteta ali več	-	podravska	30	793
Rog-Art-J-Gvecg-P580051	Artur-J-Gvecg-P580051	Artur-J-Gvecg-P580051.wav	Artur-J	Artur-J-G4605	moški	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	goriška	3	69
Rog-Art-N-G5013-P600007	Artur-N-G5013-P600007	Artur-N-G5013-P600007.wav	Artur-N	Artur-N-G5013	moški	18 do 34 let	slovenščina	pogovorni jezik	srednja šola	podravska	-	39	652
Rog-Art-N-G5014-P600007	Artur-N-G5014-P600007	Artur-N-G5014-P600007.wav	Artur-N	Artur-N-G5014	moški	18 do 34 let	slovenščina	pogovorni jezik	srednja šola	podravska	-	41	540
Rog-Art-N-G5019-P600012	Artur-N-G5019-P600012	Artur-N-G5019-P600012.wav	Artur-N	Artur-N-G5019	moški	30 do 59 let	slovenščina	pogovorni jezik	višja ali visoka šola	podravska	-	26	246
Rog-Art-N-G5020-P600012	Artur-N-G5020-P600012	Artur-N-G5020-P600012.wav	Artur-N	Artur-N-G5020	ženski	30 do 59 let	slovenščina	pogovorni jezik	srednja šola	podravska	-	58	727
Rog-Art-N-G5025-P600021	Artur-N-G5025-P600021	Artur-N-G5025-P600021.wav	Artur-N	Artur-N-G5025	ženski	nad 60 let	slovenščina	pogovorni jezik	srednja šola	pomurska	-	45	452
